CCTVAIP x4300,AN2 4000x,AN2 4300x,CCVP_02 4300x,CCVP_03 4300x,CCVP_04 4300x,CCVP_05 4300x,CCVP_06 4300x,CC1960 4300x,CC1960 3700x
0.121,0.532,0.215,0.512,0.672,1.032,0.283,1.117,0.53,0.828
0.782,0.668,0.621,0.342,1.484,1.591,0.346,5.792,1.861,1.248
1.115,0.357,0.383,0.461,0.241,0.513,2.312,0.667,0.786,0.409
0.356,0.239,0.587,0.199,0.494,0.617,0.326,0.593,1.002,0.553
0.513,0.549,0.611,0.375,0.262,0.568,0.33,0.219,0.499,0.529
0.221,0.25,0.331,0.302,0.43,0.575,1.315,1.873,0.398,0.508
0.466,0.388,0.614,0.925,0.597,1.544,0.555,0.653,1.04,0.379
0.346,0.364,0.424,0.424,0.779,1.738,0.186,3.871,0.463,0.641
0.201,0.426,0.579,0.908,0.766,1.126,0.602,0.468,0.563,0.837
0.467,1.578,0.378,0.381,0.45,0.476,0.822,2.547,0.705,0.664
0.293,0.324,0.177,0.607,0.268,0.476,0.656,1.02,1.111,0.67
0.34,0.343,0.7,0.275,0.277,0.842,0.751,1.045,0.448,0.4
0.498,0.472,1.541,0.513,0.365,2.143,1.248,0.656,0.679,0.398
0.74,0.369,0.427,0.661,0.304,1.457,1.013,1.001,0.593,0.565
0.314,0.432,0.406,0.629,1.031,1.122,1.402,3.362,0.616,0.982
0.298,0.559,0.965,1.201,0.246,0.597,1.706,1.463,0.527,0.656
0.314,0.831,0.262,0.576,0.962,1.118,1.189,0.518,0.283,0.848
0.591,0.498,1.137,0.721,0.486,0.414,0.445,0.499,0.5,1.399
0.725,1.132,0.555,2.609,0.389,1.158,0.418,1.31,0.685,0.858
0.272,0.516,0.532,0.643,0.569,0.944,0.295,0.56,0.668,0.524
0.448,0.531,0.536,1.117,0.32,0.683,0.622,0.484,0.382,0.447
1.73,0.471,0.572,0.322,0.956,0.478,0.746,1.268,0.804,0.656
0.744,0.692,0.336,0.741,0.673,0.54,0.711,1.592,0.581,0.451
0.393,0.479,0.56,0.403,0.215,0.376,1.417,1.536,0.293,0.727
1.081,0.298,0.529,0.413,0.702,1.808,0.806,1.047,0.889,0.678
0.492,0.35,1.343,0.847,0.439,0.362,0.503,3.552,0.499,1.625
0.902,0.688,0.318,1.111,0.803,0.581,1.014,0.723,1.053,1.27
0.887,0.59,0.413,0.342,0.646,1.143,1.114,0.362,0.483,0.428
0.513,0.295,0.749,1.268,0.355,0.33,2.089,0.841,0.267,0.872
0.751,0.476,0.189,0.607,2.131,1.051,0.442,2.069,0.581,0.399
0.623,0.397,0.947,0.715,0.367,0.843,0.8,1.267,1.021,1.124
0.288,0.343,0.218,0.547,0.331,1.486,1.091,2.215,0.323,0.584
0.272,0.551,0.768,0.406,1.101,0.351,0.555,0.456,0.499,0.467
0.376,0.559,0.56,0.643,0.436,0.377,0.382,0.843,0.468,0.4
0.4,0.267,0.267,0.226,0.457,0.156,0.436,0.657,1.411,0.65
0.788,0.467,0.243,0.413,0.304,0.495,0.476,1.741,0.767,0.644
0.698,0.829,0.288,1.824,0.373,0.253,0.351,1.288,0.575,1.223
0.578,0.348,0.354,0.226,0.402,1.083,0.496,0.456,1.049,0.363
0.871,0.488,0.533,0.604,0.699,0.581,0.442,0.966,0.275,0.915
0.268,0.442,0.523,0.244,0.355,0.577,0.858,0.399,0.257,0.343
0.422,0.458,0.361,0.216,0.434,1.078,0.974,5.915,0.567,0.432
0.309,0.475,0.259,1.577,0.491,0.403,0.812,0.415,0.305,0.432
0.706,0.692,0.165,0.575,0.465,0.984,0.366,0.192,0.671,0.463
0.478,0.438,1.451,0.244,0.336,0.44,1.072,0.486,0.467,0.514
0.422,0.462,0.235,0.673,0.315,0.803,0.44,0.656,0.378,0.821
0.136,0.324,0.52,0.887,0.939,0.515,0.389,0.388,1.088,0.322
0.174,1.23,0.611,0.429,0.551,0.364,0.609,0.602,0.34,0.624
0.987,0.899,0.803,0.58,0.262,0.456,0.434,0.798,0.597,0.607
1.005,0.825,0.373,0.638,0.359,0.508,0.174,0.962,1.352,0.68
0.293,0.66,0.485,0.441,0.769,0.382,0.434,0.99,0.93,0.638
0.354,0.566,0.518,0.638,0.689,0.526,1.158,1.08,0.673,0.592
0.356,0.764,0.246,0.807,0.4,0.534,0.968,0.842,0.401,0.432
0.676,0.476,0.919,0.661,0.716,0.467,0.279,0.57,0.365,0.806
1.772,0.331,0.43,0.263,0.272,0.628,0.993,0.505,1.933,1.18
0.577,0.406,1.139,0.434,0.415,0.445,0.456,0.429,0.699,0.604
0.253,0.852,0.999,0.375,0.597,0.442,0.57,,0.305,0.711
0.526,0.596,0.539,0.513,1.01,0.311,0.659,,0.694,0.577
1.23,0.607,1.354,0.268,0.411,0.519,1.63,,0.863,0.933
0.786,0.357,0.919,0.205,0.97,0.293,0.445,,1.132,0.612
0.477,0.608,0.243,0.306,0.901,0.665,0.508,,0.368,0.453
0.412,0.761,0.224,0.854,0.329,0.971,0.472,,0.481,1.196
0.473,1.155,0.218,0.511,0.219,0.309,0.389,,0.434,0.361
0.263,1.152,0.358,0.807,0.516,0.837,0.751,,3.164,0.373
0.67,0.73,0.294,0.553,1.231,0.483,0.66,,0.53,0.529
0.526,1.175,0.656,0.322,0.304,0.526,0.841,,0.607,0.4
0.54,0.393,0.155,0.317,0.367,0.583,1.183,,0.619,0.614
0.513,0.666,1.053,0.931,0.468,0.984,0.929,,0.467,0.337
1.433,1.035,0.19,0.287,0.353,0.618,0.442,,1.103,0.755
0.571,0.654,0.273,0.263,0.383,0.7,0.803,,0.475,0.343
0.54,0.596,0.582,0.29,0.28,0.608,0.496,,0.593,0.828
0.921,0.343,0.355,2.702,,0.487,0.728,,1.499,0.847
0.634,0.377,0.562,1.855,,0.431,0.495,,0.328,0.647
0.963,1.003,0.958,0.856,,0.186,0.49,,0.557,0.603
0.478,1.263,1.121,1.177,,2.66,0.434,,0.334,0.432
0.431,0.495,0.758,1.217,,0.923,0.483,,0.356,0.673
0.348,0.571,0.299,0.719,,1.896,0.186,,0.704,0.416
0.501,1.328,2.272,0.295,,0.77,0.563,,0.505,1.138
1.208,0.377,0.685,0.281,,0.702,0.922,,1.446,0.494
0.894,0.499,0.413,0.611,,1.015,0.321,,0.814,0.481
0.938,0.738,0.358,0.593,,0.169,0.152,,1.103,0.777
0.459,0.426,0.879,1.094,,0.472,0.22,,0.283,0.872
0.491,0.783,0.371,0.758,,0.4,0.459,,0.915,1.454
0.448,0.64,1.373,0.587,,0.27,1.097,,0.385,0.742
0.495,,0.389,0.844,,0.574,0.526,,0.848,0.494
0.298,,0.754,0.375,,0.34,0.257,,0.631,0.893
